"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []","Voltage [V]"
8.541000624,-4.99992E-005,0,0.002409000176,0,0,-1,95.9453428226636,0.731130029938341
8.5629006256,-4.99992E-005,0,0.0023871001744,0,0,-1,95.9454233993189,0.729028825894697
8.5848006272,-4.99992E-005,0,0.0023652001728,0,0,-1,95.9455039759741,0.726927620086425
8.6067006288,-4.99992E-005,0,0.0023433001712,0,0,-1,95.9455845526295,0.724826412513524
8.6286006304,-4.99992E-005,0,0.0023214001696,0,0,-1,95.9456651292848,0.722725203175994
8.650500632,-4.99992E-005,0,0.002299500168,0,0,-1,95.9457457059401,0.720623992073835
8.6724006336,-4.99992E-005,0,0.0022776001664,0,0,-1,95.9458262825953,0.718522779207047
8.6943006352,-4.99992E-005,0,0.0022557001648,0,0,-1,95.9459068592507,0.716421564575631
8.7162006368,-4.99992E-005,0,0.0022338001632,0,0,-1,95.945987435906,0.714320348179585
8.7381006384,-4.99992E-005,0,0.0022119001616,0,0,-1,95.9460680125613,0.712219130018911
8.76000064,-4.99992E-005,0,0.00219000016,0,0,-1,95.9461485892166,0.710117910093608
8.7819006416,-4.99992E-005,0,0.0021681001584,0,0,-1,95.9462291658719,0.708016688403676
8.8038006432,-4.99992E-005,0,0.0021462001568,0,0,-1,95.9465901056925,0.705915460729812
8.8257006448,-4.99992E-005,0,0.0021243001552,0,0,-1,95.9465901056926,0.703814230252983
8.8476006464,-4.99992E-005,0,0.0021024001536,0,0,-1,95.9465901056926,0.701712999776154
8.869500648,-4.99992E-005,0,0.002080500152,0,0,-1,95.9465901056926,0.699611769299324
8.8914006496,-4.99992E-005,0,0.0020586001504,0,0,-1,95.9465901056925,0.697510538822495
8.9133006512,-4.99992E-005,0,0.0020367001488,0,0,-1,95.9465901056926,0.695409308345666
8.9352006528,-4.99992E-005,0,0.0020148001472,0,0,-1,95.9465901056925,0.693308077868837
8.9571006544,-4.99992E-005,0,0.0019929001456,0,0,-1,95.9465901056925,0.691206847392007
8.979000656,-4.99992E-005,0,0.001971000144,0,0,-1,95.9465901056925,0.689105616915178
9.0009006576,-4.99992E-005,0,0.0019491001424,0,0,-1,95.9465901056926,0.687004386438349
9.0228006592,-4.99992E-005,0,0.0019272001408,0,0,-1,95.9465901056926,0.68490315596152
